"Facultad","Invictos","Repitentes"
"MEDICINA","2310","613"
"DERECHO Y CIENCIA POLÍTICA","1959","857"
"CIENCIAS ADMINISTRATIVAS","1608","447"
"CIENCIAS CONTABLES","1368","1222"
"INGENIERÍA ELECTRÓNICA Y ELÉCTRICA","1163","1188"
"CIENCIAS SOCIALES","1058","1089"
"INGENIERÍA DE SISTEMAS E INFORMÁTICA","1054","1059"
"LETRAS Y CIENCIAS HUMANAS","991","1023"
"EDUCACIÓN","950","683"
"INGENIERÍA GEOLÓGICA, MINERA, METALÚRGICA Y GEOGRÁFICA","880","900"
"INGENIERÍA INDUSTRIAL","786","1140"
"CIENCIAS ECONÓMICAS","778","1042"
"PSICOLOGÍA","682","252"
"QUÍMICA E INGENIERÍA QUÍMICA","532","544"
"FARMACIA Y BIOQUÍMICA","528","226"
"CIENCIAS BIOLÓGICAS","495","326"
"CIENCIAS FÍSICAS","354","795"
"CIENCIAS MATEMÁTICAS","351","779"
"ODONTOLOGÍA","343","108"
"MEDICINA VETERINARIA","219","152"
